team_api_id,mean_player_rating,points_per_game
1601,60.985872348780084,1.6666666666666663
1957,61.49502097872856,1.2999999999999998
2182,65.54678902441808,1.766666666666666
2186,60.16559375809377,1.2999999999999998
8020,63.645774722477164,1.3999999999999992
8021,62.3926195604598,0.966666666666666
8023,63.67623389161785,1.5666666666666675
8024,59.24118460005172,0.7333333333333333
8025,63.877093015679975,1.133333333333333
8027,62.68642891506003,1.3999999999999992
8028,61.66537839519967,1.133333333333333
8030,61.01496686657152,1.3333333333333333
8033,60.00228467576194,1.033333333333334
8245,61.49751817429607,1.233333333333334
8673,66.11158328824061,2.100000000000001
10265,64.11122493979002,1.5
