team_api_id,mean_player_rating,points_per_game
7730,60.28084264602772,0.6666666666666669
9930,60.760139054076475,1.1666666666666665
9931,69.74190718695208,2.0
9956,65.9791418529932,1.8055555555555567
10179,64.19710061586677,1.1944444444444435
10190,60.255921764403055,1.25
10191,61.473432910376715,1.3333333333333337
10192,64.4293916105283,1.6388888888888875
10199,62.72284658547988,1.416666666666666
10243,63.17512241329541,1.388888888888888
