team_name,team_api_id,mean_player_rating,points_per_game
GKS Bełchatów,8569,60.503706217779154,1.033333333333334
Jagiellonia Białystok,1957,62.60200254592393,1.233333333333334
Korona Kielce,8245,61.82037768910069,1.2
Lech Poznań,2182,65.37321979011688,2.033333333333332
Lechia Gdańsk,8030,61.269185933322916,1.266666666666666
Legia Warszawa,8673,67.54371157247142,2.233333333333334
P. Warszawa,2183,63.037265037235194,1.3999999999999992
Piast Gliwice,8028,62.09467429921757,1.5333333333333334
Podbeskidzie Bielsko-Biała,8033,61.66832210009217,1.0666666666666667
Pogoń Szczecin,8023,63.52898837448869,1.166666666666667
Polonia Bytom,8020,64.80637756797911,1.4333333333333327
Ruch Chorzów,1601,62.11420800504164,1.033333333333334
Widzew Łódź,8024,61.54391953908617,1.1000000000000005
Wisła Kraków,10265,65.19735425798117,1.266666666666666
Zagłębie Lubin,8021,62.20171864283664,1.3333333333333333
Śląsk Wrocław,8025,64.5291081441545,1.5666666666666675
